date,pm10,pm25,co,no2,so2,o3,dust
6/26/2013,21.23333333,13.05833333,,36.95833333,,29.83333333,
6/27/2013,17.65416667,11.79583333,,26.39166667,,36.29166667,
6/28/2013,12.26666667,6.491666667,,22.15416667,,16.125,
6/29/2013,16.09583333,10.04583333,,16.49583333,,44.75,
6/30/2013,16.47083333,9.591666667,,18.7875,,29.75,
7/1/2013,17.9625,10.33333333,,19.025,,35.625,
7/2/2013,18.25416667,10.45,,27.81666667,,29.29166667,
7/3/2013,11.6875,6.616666667,,16.98333333,,21.79166667,
7/4/2013,15.45416667,7.670833333,,21.44166667,,22.75,
7/5/2013,25.0375,15.1625,,31.54583333,,33.45833333,
7/6/2013,33.12083333,21.53333333,,33.1875,,47.70833333,
7/7/2013,42.82083333,32.58333333,,29.76666667,,66.41666667,
7/8/2013,28.85833333,16.78333333,,19.69166667,,62.83333333,
7/9/2013,22.7625,8.7875,,19.5,,39.54166667,
7/10/2013,22.23333333,14.47083333,,19.41666667,,36.58333333,
7/11/2013,19.0625,9.820833333,,15.5625,,57.08333333,
7/12/2013,23.36666667,13.925,,26.6,,36.54166667,
7/13/2013,34.32916667,21.4625,,37.35416667,,40.04166667,
7/14/2013,30.47083333,22.04583333,,28.3375,,56.875,
7/15/2013,23.39166667,12.93333333,,35.35416667,,51,
7/16/2013,35.85416667,22.27916667,,50.52916667,,48.04166667,
7/17/2013,30.95833333,22.80833333,,38.93333333,,63.29166667,
7/18/2013,30.14166667,20.9375,,28.325,,50.33333333,
7/19/2013,21.65,11.45833333,,17.42083333,,45.625,
7/20/2013,18.32083333,8.820833333,,13.18333333,,36.16666667,
7/21/2013,28.15833333,17.39583333,,16.29166667,,64.45833333,
7/22/2013,33.10416667,26.54583333,,28.66666667,,68.75,
7/23/2013,22.5375,17.66666667,,36.04166667,,58.45833333,
7/24/2013,15.725,8.316666667,,22.25416667,,36.95833333,
7/25/2013,15.56666667,9.383333333,,21.11666667,,34.54166667,
7/26/2013,19.82916667,9.8,,28.10416667,,35.29166667,
7/27/2013,16.475,8.983333333,,36.625,,38.16666667,
7/28/2013,12.40833333,6.895833333,,13.37916667,,48.25,
7/29/2013,16.09166667,7.0625,,14.98333333,,46.45833333,
7/30/2013,14.10416667,6.266666667,,20.22916667,,30,
7/31/2013,11.83333333,6.545833333,,17.56666667,,24.58333333,
8/1/2013,18.85833333,9.120833333,,21.9625,,45.54166667,
8/2/2013,15.66666667,8.091666667,,18.49583333,,38.70833333,
8/3/2013,14.48333333,5.0125,,14.47916667,,46.45833333,
8/4/2013,16.29583333,6.870833333,,13.44166667,,48.91666667,
8/5/2013,13.3875,6.504166667,,19.47916667,,42.83333333,
8/6/2013,20.24583333,9.020833333,,27.09166667,,31.91666667,
8/7/2013,19.03333333,11.88333333,,23.375,,42.54166667,
8/8/2013,24.33333333,16.02916667,,32.52916667,,37.83333333,
8/9/2013,15.95833333,8.679166667,,19.0375,,50.45833333,
8/10/2013,16.30833333,7.266666667,,21.60833333,,43.95833333,
8/11/2013,14.275,7.204166667,,20.71666667,,41.70833333,
8/12/2013,14.9125,6.979166667,,21.07083333,,35.375,
8/13/2013,12.30416667,5.8875,,20.77083333,,31.66666667,
8/14/2013,14.825,9.058333333,,27.19583333,,22.20833333,
8/15/2013,15.50833333,7.579166667,,18.9875,,23.79166667,
8/16/2013,16.20833333,7.579166667,,22.1,,21.54166667,
8/17/2013,15.90833333,9.554166667,,20.40833333,,29.75,
8/18/2013,15.31666667,7.241666667,,14.67083333,,39.75,
8/19/2013,17.34583333,9.429166667,,21.44166667,,41.04166667,
8/20/2013,24.0625,14.64583333,,34.78333333,,29.75,
8/21/2013,23.83333333,13.39166667,,32.85833333,,32.58333333,
8/22/2013,21.1875,12.00833333,,38.01666667,,13.33333333,
8/23/2013,35.2375,22.7,,36.61666667,,43.33333333,
8/24/2013,36.81666667,24.39583333,,30.6625,,43.41666667,
8/25/2013,14.69166667,9.570833333,,16.92083333,,53.125,
8/26/2013,26.65,18.39583333,,20.3625,,56.16666667,
8/27/2013,25.44583333,14.84166667,,28.9125,,34.95833333,
8/28/2013,28.45833333,18.5875,,40.26666667,,37.20833333,
8/29/2013,22.92916667,13.2375,,35.72083333,,28.25,
8/30/2013,15.40833333,6.991666667,,26.1875,,27.20833333,
8/31/2013,16.4375,7.445833333,,18.24583333,,38.79166667,
9/1/2013,17.40416667,8.5625,,22.61666667,,33.79166667,
9/2/2013,16.30833333,8.075,,25.075,,29.66666667,
9/3/2013,30.0875,14.95,,44.56666667,,12.04166667,
9/4/2013,36.4,20.69583333,,45.375,,27.95833333,
9/5/2013,47.7375,37.03333333,,52.7125,,34.79166667,
9/6/2013,23.575,13.05,,35.35416667,,19.83333333,
9/7/2013,13.34166667,4.141666667,,19.3875,,41.95833333,
9/8/2013,11.99166667,4.845833333,,26.55833333,,29.75,
9/9/2013,12.9625,8.295833333,,38.1125,,12.33333333,
9/10/2013,11.8375,6.854166667,,25.64166667,,28.125,
9/11/2013,11.35833333,7.408333333,,25.81666667,,24,
9/12/2013,18.74166667,11.42083333,,40.5125,,7.458333333,
9/13/2013,12.275,8.070833333,,33.00833333,,7,
9/14/2013,11.6,6.720833333,,21.5625,,26.16666667,
9/15/2013,15.4,8.729166667,,21.53333333,,26.83333333,
9/16/2013,12.15416667,4.879166667,,17.77083333,,40.58333333,
9/17/2013,15.83333333,6.270833333,,27.64583333,,22.04166667,
9/18/2013,11.55416667,6.704166667,,26.17083333,,22.20833333,
9/19/2013,12.87916667,6.441666667,,29.22083333,,21.95833333,
9/20/2013,19.00416667,9.458333333,,31.55,,16.41666667,
9/21/2013,19.64583333,10.6625,,32.775,,14.20833333,
9/22/2013,19.05416667,11.9125,,28.25833333,,8.791666667,
9/23/2013,29.27083333,19.47916667,,36.77916667,,7.041666667,
9/24/2013,43.8625,36.975,,48.04583333,,5.291666667,
9/25/2013,61.39583333,53.35416667,,54.425,,8.333333333,
9/26/2013,33.03333333,24.3375,,27.8625,,24.91666667,
9/27/2013,22.22083333,13.775,,32.4,,21.625,
9/28/2013,31.31666667,23.075,,34.8125,,18.95833333,
9/29/2013,26.03333333,18.7875,,23.0875,,37.45833333,
9/30/2013,29.26666667,20.60416667,,35.28333333,,20.625,
10/1/2013,35.42083333,29.17083333,,38.02083333,,14.58333333,
10/2/2013,25.125,18.75,,32.49166667,,12.95833333,
10/3/2013,26.63333333,19.02916667,,33.0875,,8.375,
10/4/2013,15.84583333,6.929166667,,24.68333333,,35.875,
10/5/2013,19.08333333,10.33333333,,33.44583333,,13.33333333,
10/6/2013,21.7625,13.4375,,35.11666667,,16.54166667,
10/7/2013,23.44166667,14.0875,,36.40833333,,14,
10/8/2013,17.95416667,10.90833333,,31.30833333,,13.91666667,
10/9/2013,14.25416667,8.229166667,,27.0625,,24.54166667,
10/10/2013,13.35833333,4.9625,,18.04583333,,44.91666667,
10/11/2013,10.6125,6.345833333,,16.35416667,,40.66666667,
10/12/2013,16.95833333,11.9875,,26.48333333,,28.41666667,
10/13/2013,12.56666667,6.2,,28.29583333,,18.04166667,
10/14/2013,15.85,8.8875,,30.4875,,13.66666667,
10/15/2013,22.1875,15.87916667,,39.03333333,,6.583333333,
10/16/2013,21.77916667,15.3,,33.975,,16.79166667,
10/17/2013,19.21666667,8.158333333,,29.22083333,,30.95833333,
10/18/2013,27.05833333,16.425,,32.95416667,,15.58333333,
10/19/2013,14.05416667,7.004166667,,25.21666667,,24.91666667,
10/20/2013,11.25833333,4.458333333,,18.99166667,,48.04166667,
10/21/2013,14.04583333,6.816666667,,21.7375,,44.25,
10/22/2013,13.06666667,6.466666667,,22.67083333,,33.70833333,
10/23/2013,12.27916667,5.270833333,,23.975,,44.45833333,
10/24/2013,20.12916667,11.7875,,36.50833333,,15.54166667,
10/25/2013,14.41666667,7.366666667,,23.80833333,,33.5,
10/26/2013,16.17083333,7,,15.58333333,,55.70833333,
10/27/2013,11.3375,5.075,,13.2125,,56.79166667,
10/28/2013,8.3625,2.666666667,,16.7,,51.70833333,
10/29/2013,12.25,5.5,,24.95,,31.79166667,
10/30/2013,17.07916667,8.154166667,,32.825,,23.70833333,
10/31/2013,14.03333333,6.808333333,,28.32916667,,36.25,
11/1/2013,13.7,6.845833333,,30.67083333,,31.79166667,
11/2/2013,16.58333333,10.425,,27.50416667,,27.95833333,
11/3/2013,9.754166667,3.429166667,,17.67916667,,51.25,
11/4/2013,9.9625,5.075,,26.57083333,,31.66666667,
11/5/2013,12.2,5.333333333,,31.64166667,,22.04166667,
11/6/2013,15.50833333,7.575,,29.57916667,,31.375,
11/7/2013,14.475,7.4875,,35.23333333,,21.04166667,
11/8/2013,15.625,8.083333333,,41.55833333,,7.958333333,
11/9/2013,14.77083333,6,,36.10416667,,9.833333333,
11/10/2013,20.45,9.141666667,,34.925,,17.95833333,
11/11/2013,14.02916667,6.879166667,,34.06666667,,20.875,
11/12/2013,18.42916667,10.70833333,,37.47083333,,12.29166667,
11/13/2013,26.70416667,14.1125,,49.10416667,,5.541666667,
11/14/2013,13.47916667,5.429166667,,24.4875,,34.70833333,
11/15/2013,25.55833333,12.65416667,,37.15416667,,19.625,
11/16/2013,37.4125,28.8125,,51.20416667,,2.458333333,
11/17/2013,34.25,24.41666667,,39.51666667,,4.083333333,
11/18/2013,38.35833333,30.075,,40.90416667,,2.125,
11/19/2013,15.84166667,8.404166667,,34.53333333,,18,
11/20/2013,10.32083333,5.345833333,,35.51666667,,19.04166667,
11/21/2013,12.7875,7.854166667,,24.9125,,28.75,
11/22/2013,11.75833333,4.9875,,25.7125,,30.875,
11/23/2013,15.55,11.55416667,,29.2625,,20.04166667,
11/24/2013,19.79583333,11.46666667,,25.52083333,,30.75,
11/25/2013,16.6375,8.383333333,,33.91666667,,20.45833333,
11/26/2013,28.90833333,19.40416667,,57.0875,,5.041666667,
11/27/2013,37.6,24.19583333,,53.40833333,,2.125,
11/28/2013,39.2625,25.9125,,50.15833333,,1.166666667,
11/29/2013,23.6625,14.5,,38.6375,,18.83333333,
11/30/2013,17.59583333,7.033333333,,27.40416667,,26.41666667,
12/1/2013,26.02916667,15.85833333,,43.87916667,,4.166666667,
12/2/2013,31.1625,15.98333333,,44.90833333,,4.875,
12/3/2013,39.72916667,20.675,,48.79166667,,5.333333333,
12/4/2013,28.3,15.35416667,,42.45833333,,6.541666667,
12/5/2013,16.67083333,4.966666667,,30.2625,,28.08333333,
12/6/2013,15.4375,6.1375,,35.25416667,,27.95833333,
12/7/2013,17.6875,9.5375,,38.975,,14.08333333,
12/8/2013,13.54166667,7.679166667,,28.85416667,,28.58333333,
12/9/2013,21.0625,12.52083333,,40.20833333,,16,
12/10/2013,38.53333333,31.25833333,,48.54583333,,3.875,
12/11/2013,44.61666667,37.65833333,,56.725,,1.833333333,
12/12/2013,51.225,36.125,,56.57083333,,2.791666667,
12/13/2013,31.475,21.1125,,35.34583333,,12.66666667,
12/14/2013,18.5375,6.125,,25.44583333,,34.29166667,
12/15/2013,12.8375,6.170833333,,19.66666667,,44.33333333,
12/16/2013,12.19583333,6.283333333,,27.675,,37.66666667,
12/17/2013,15.6875,9.041666667,,45.45,,18.16666667,
12/18/2013,14.49583333,7.8625,,33.21666667,,31.33333333,
12/19/2013,13.28333333,5.2,,30.62083333,,30.125,
12/20/2013,16.0375,5.795833333,,27.95833333,,28.5,
12/21/2013,7.825,3.0625,,13.59583333,,55.75,
12/22/2013,12.38333333,4.5,,17.8625,,48.125,
12/23/2013,8.7875,4.283333333,,16.81666667,,50.29166667,
12/24/2013,8.725,3.725,,18.83333333,,53.41666667,
12/25/2013,12.80833333,5.4875,,25.50833333,,37.29166667,
12/26/2013,16.7125,9.904166667,,36.00416667,,13.70833333,
12/27/2013,15.70833333,5.883333333,,17.45833333,,54.33333333,
12/28/2013,16.57916667,5.695833333,,27.84166667,,29.83333333,
12/29/2013,16.47083333,7.195833333,,30.6125,,9.916666667,
12/30/2013,12.22083333,4.779166667,,20.05416667,,47.20833333,
12/31/2013,13.4375,4.8875,,24.5125,,40.25,
1/1/2014,8.379166667,4.1625,,15.05416667,,56.25,
1/2/2014,11.28333333,6.304166667,,24.05416667,,47.04166667,
1/3/2014,14.2625,6.504166667,,17.825,,63.75,
1/4/2014,10.72083333,6.0375,,26.65833333,,51.33333333,
1/5/2014,9.733333333,6.1,,29.56666667,,37.20833333,
1/6/2014,14.225,6.616666667,,16.5375,,61.95833333,
1/7/2014,15.43333333,7.404166667,,17.20833333,,56.08333333,
1/8/2014,16.32083333,7.370833333,,31.12083333,,38.45833333,
1/9/2014,10.77083333,5.779166667,,25.80416667,,40.08333333,
1/10/2014,12.09166667,7.2875,,40.3125,,22.91666667,
1/11/2014,12.15416667,7.058333333,,33.79583333,,32.16666667,
1/12/2014,22.8375,14.80833333,,44.4625,,19.20833333,
1/13/2014,11.50416667,5.2875,,30.3375,,39.875,
1/14/2014,13.75416667,9.583333333,,44.62083333,,23.79166667,
1/15/2014,14.85416667,7.108333333,,27.825,,43.41666667,
1/16/2014,10.74583333,6.075,,24.425,,46.875,
1/17/2014,9.716666667,5.616666667,,27.79166667,,46.625,
1/18/2014,14.99166667,9.358333333,,28.05,,32.91666667,
1/19/2014,14.30416667,10.0375,,36.4375,,26.08333333,
1/20/2014,34.275,24.07083333,,64.02916667,,6.166666667,
1/21/2014,37.22083333,26.125,,60.84583333,,10.66666667,
1/22/2014,18.45416667,11.25416667,,40.34166667,,23.375,
1/23/2014,17.94583333,9.325,,40.8625,,20.625,
1/24/2014,19.5,11.2875,,45.60416667,,17.95833333,
1/25/2014,14.55833333,7.75,,29.12083333,,34.95833333,
1/26/2014,14.81666667,6.608333333,,23.25,,53.125,
1/27/2014,10.98333333,6.345833333,,28.775,,44.58333333,
1/28/2014,10.74583333,6.308333333,,27.075,,45.625,
1/29/2014,13.22083333,9.6,,35.22916667,,30.16666667,
1/30/2014,22.20416667,17.06666667,,48.775,,8.208333333,
1/31/2014,19.33333333,14.62083333,,35.68333333,,21.20833333,
2/1/2014,11.1125,5.641666667,,17.24166667,,60,
2/2/2014,20.40833333,8.7625,,22.92083333,,51.91666667,
2/3/2014,15.79583333,8.895833333,,27.47916667,,40.54166667,
2/4/2014,12.54583333,7.079166667,,23.22083333,,49.16666667,
2/5/2014,12.85,6.5375,,15.89583333,,61.08333333,
2/6/2014,13.45416667,6.1625,,21.56666667,,50.83333333,
2/7/2014,10.14583333,6.204166667,,25.65833333,,45,
2/8/2014,11.975,6.308333333,,14.25416667,,65.45833333,
2/9/2014,14.7375,6.7875,,14.31666667,,62.875,
2/10/2014,11.42083333,7.441666667,,39.54583333,,29,
2/11/2014,11.34583333,6.529166667,,29.38333333,,42.54166667,
2/12/2014,12.32916667,6.008333333,,20.47916667,,57.45833333,
2/13/2014,11.825,6,,24.05833333,,53.66666667,
2/14/2014,10.62916667,5.758333333,,23.17916667,,49,
2/15/2014,13.65833333,6.0875,,15.00416667,,64.375,
2/16/2014,15.15833333,8.320833333,,30.98333333,,33.29166667,
2/17/2014,16.1875,9.9125,,33.49583333,,35.33333333,
2/18/2014,13.95,9.458333333,,36.3625,,34.125,
2/19/2014,15.92916667,11.18333333,,43.17916667,,23.125,
2/20/2014,10.44583333,6.758333333,,24.75833333,,46.125,
2/21/2014,13.27083333,6.804166667,,29.48333333,,45.29166667,
2/22/2014,16.525,6.683333333,,22.9125,,54.16666667,
2/23/2014,16.54583333,7.925,,16.20833333,,64.91666667,
2/24/2014,15.30833333,10.0875,,23.3375,,50.29166667,
